isbn,source,author,total_price,currency,offer_type
9780930289485,Amazon.com,"Morrison, Grant",39.0,USD,used
9780449208298,Amazon.com,"Asimov, Isaac",25.0,USD,used
9780307071002,Amazon.com,Shaped Color,25.0,USD,used
9780448448862,Amazon.com,"Pascal, Janet B.",25.0,USD,used
9781857151381,Amazon.com.au,Italo-calvino,25.0,USD,used
9780380800827,Amazon.com,"Quinn, Julia",23.0,USD,used
9788483460436,Amazon.com,"MOYES,JOJO",21.0,USD,used
9781412936224,Amazon.com,"Barry, Anne-Marie",17.0,USD,used
9780770000066,Amazon.com,"Montgomery, L. M.",17.0,USD,used
9781260474183,Amazon.com,Grenny,16.0,USD,used
9780345320285,Amazon.com,L. Frank Baum,15.0,USD,used
9780553276060,Amazon.com,"Stout, Rex",15.0,USD,used
9780007171972,Amazon.com,"Tolkien, J. R. R.",14.0,USD,used
9780545611596,Amazon.com,Rick Riordan,13.0,USD,used
9780192508980,Amazon.com,"Tolstoy, Leo",13.0,USD,used
9781857232509,Amazon.com,"Anthony, Piers",13.0,USD,used
9781405910231,Amazon.com.au,Day,12.0,USD,used
9780316001632,Amazon.com,"Shreve, Anita",12.0,USD,used
9780307015860,Amazon.com,Kathryn Kenny,12.0,USD,used
9781860648304,Amazon.com,Ahmed Rashid,12.0,USD,used
9788843521746,Amazon.com.au,"Baj, Enrico",11.0,USD,used
9780136692010,Amazon.com,Douglas C. Giancoli,11.0,USD,used
9780233983851,Amazon.com,"Lem, Stanislaw",11.0,USD,used
9780780714823,Amazon.com,Phyllis Reynolds Naylor,11.0,USD,used
9788469603611,Amazon.com,"Barrows, Annie",11.0,USD,used
9781936305629,Amazon.com,"Reynard, Sylvain",10.0,USD,used
9780300021097,Amazon.com,Jackson Pollock,10.0,USD,used
9782253041757,Amazon.com.au,Allende,10.0,USD,used
9780701132606,Amazon.com,Little Brown,10.0,USD,used
9788496791602,Amazon.com,"Connelly, Michael",10.0,USD,used
9781416502920,Amazon.com,KEVIN J. ANDERSON,10.0,USD,used
9782809803464,Amazon.com,"Patterson, James",9.0,USD,used
9781843549079,Amazon.com,"Poe, Edgar Allan",9.0,USD,used
9782290343470,Amazon.com,Carroll Lewis,9.0,USD,used
9780806967912,Amazon.com,,9.0,USD,used
9780263734676,Amazon.com,"Corrie, Jane",9.0,USD,used
9780439425162,Amazon.com,"Park, Barbara",8.0,USD,used
9780670710317,Amazon.com,"Stout, Rex",8.0,USD,used
9780751517545,Amazon.com,,7.0,USD,used
9780439261395,Amazon.com,Avi,7.0,USD,used
9780470267264,Amazon.com,"Pagano D.C., John O. A.",7.0,USD,used
9781592582150,Amazon.com.au,"Ackroyd, Peter",7.0,USD,used
9781420136388,Amazon.com,"Graham, Heather",7.0,USD,used
9780575055032,Amazon.com,Terry Pratchett,7.0,USD,used
9780312019914,Amazon.com,Bernard F. Dick,7.0,USD,used
9780671039165,Amazon.com,"Shakespeare, William",7.0,USD,used
9780192503459,Amazon.com,"Austen, Jane",7.0,USD,used
9780743257282,Amazon.com,Mary Higgins Clark,6.0,USD,used
9780722522073,Amazon.com,"Applebee, Jackie",6.0,USD,used
9781405089104,Amazon.com,"Archer, Jeffrey",6.0,USD,used
9781529043280,Amazon.com,"Herriot, James",6.0,USD,used
9780712610469,Amazon.com,"Meadows, Kenneth",6.0,USD,used
9781410420077,Amazon.com,"Cather, Willa",6.0,USD,used
9781784706456,Amazon.com.au,Philip Roth,6.0,USD,used
9780786965113,Amazon.com,"Salvatore, R. A.",6.0,USD,used
9781134414888,Amazon.com,,6.0,USD,used
9789871786237,Amazon.com,Walter Isaacson,6.0,USD,used
9780330104593,Amazon.com,Leslie Charteris,6.0,USD,used
9780367025816,Amazon.com,,6.0,USD,used
9780061130366,Amazon.com (Prime),"Chandra, Vikram",6.0,USD,used
9780373108091,Amazon.com,Penny Jordan,6.0,USD,used
9780894719974,Amazon.com,Daniel Defoe,5.0,USD,used
9780195001990,Amazon.com,"Toynbee, Arnold J.",5.0,USD,used
9780091949891,Amazon.com,"Wexler, Django",5.0,USD,used
9781509880669,Amazon.com,"Fogliano, Julie",5.0,USD,used
9780064443074,Amazon.com,"Rylant, Cynthia",5.0,USD,used
9781410471161,Amazon.com,"Roberts, Nora",5.0,USD,used
9780812404470,Amazon.com,Barbara Siebel Thomas Peggy Parish,5.0,USD,used
9781368024068,Amazon.com,Rick Riordan,5.0,USD,used
9781136146572,Amazon.com,,5.0,USD,used
9781854371287,Amazon.com,"Biggs, Lewis",4.0,USD,used
9780942545616,Amazon.com,"Dixon, Franklin W.",4.0,USD,used
9780174324485,Amazon.com,D.H. Lawrence,4.0,USD,used
9780135734384,Amazon.com,"Cockerham, University William C",4.0,USD,used
9780312179403,Amazon.com,"Crusie, Jennifer",4.0,USD,used
9781451687507,Amazon.com,"Kingsbury, Karen",4.0,USD,used
9781468406368,Amazon.com,,4.0,USD,used
9781138613263,Amazon.com.au,,4.0,USD,used
9781602857360,Amazon.com,"Abulhawa, Susan",4.0,USD,used
9780425098820,Amazon.com,"Christie, Agatha",4.0,USD,used
9781315475196,Amazon.com,,4.0,USD,used
9780809073528,Amazon.com,"Wiesel, Elie",4.0,USD,used
9788497593069,Amazon.com,"Frank, Ana",4.0,USD,used
9789681601881,Amazon.com,Fromm,4.0,USD,used
9780460860444,Amazon.com,,4.0,USD,used
9780199692569,Amazon.com,,4.0,USD,used
9780809228560,Amazon.com,"Lee, Bruce",3.0,USD,used
9780688147389,Amazon.com,"Henkes, Kevin",3.0,USD,used
9788412281743,Amazon.com,"Kimmerer, Robin Wall",3.0,USD,used
9780756415181,Amazon.com,"Okorafor, Nnedi",3.0,USD,used
9780755329076,Amazon.com,"Evanovich, Janet",3.0,USD,used
9780140266405,Amazon.com.au,"Bryson, Bill",3.0,USD,used
9781138499003,Amazon.com,,3.0,USD,used
9780679431312,Amazon.com,Leo Tolstoy,3.0,USD,used
9781416513407,Amazon.com,"Swofford, Anthony",3.0,USD,used
9781529017205,Amazon.com,"Donaldson, Julia",3.0,USD,used
9781782640448,Amazon.com,"Lawhead, Stephen R",3.0,USD,used
9780425075722,Amazon.com.au,"Heinlein, Robert A.",3.0,USD,used
9780375999956,Amazon.com,"Coxe, Molly",3.0,USD,used
9781849701471,Amazon.com,"Counter, Ben",3.0,USD,used
9780375423727,Amazon.com,"Gleick, James",3.0,USD,used
9780470003701,Amazon.com,"Brown, William H.",3.0,USD,used
9781591824558,Amazon.com,Tohru Fujisawa,3.0,USD,used
9780553136869,Amazon.com,"Renault, Mary",3.0,USD,used
9780345288684,Amazon.com.au,"Burroughs, Edgar Rice",3.0,USD,used
9781555978242,Amazon.com,"MacHado, Carmen Maria",3.0,USD,used
9781444834253,Amazon.com,Yaa Gyasi,3.0,USD,used
9781448156085,Amazon.com,,2.0,USD,used
9789705803536,Amazon.com,"Roberts, Nora",2.0,USD,used
9781842623404,Amazon.com,Nathaniel Hawthorne,2.0,USD,used
9783596298419,Amazon.com,"Dick, Philip K.",2.0,USD,used
9783775718257,Amazon.com,,2.0,USD,used
9782251001746,Amazon.com,ISOCRATE,2.0,USD,used
9781429966757,Amazon.com,,2.0,USD,used
9781623658199,Amazon.com,"May, Peter",2.0,USD,used
9781402776915,Amazon.com,,2.0,USD,used
9781616510770,Amazon.com,"Shelley, Mary",2.0,USD,used
9781484713020,Amazon.com,"Donnelly, Jennifer",2.0,USD,used
9781416036685,Amazon.com,"Bird CDA RDA RDH MA, Doni L.",2.0,USD,used
9781561386536,Amazon.com,"Hardy, Thomas",2.0,USD,used
9781414319131,Amazon.com,,2.0,USD,used
9782110808042,Amazon.com,"Bernardin De Saint-Pierre, Jacques-Henri",2.0,USD,used
9781416906070,Amazon.com,"Anderson, Jodi Lynn",2.0,USD,used
9786070712722,Amazon.com,"Tolkien, J.R.R.",2.0,USD,used
9781935429067,Amazon.com,Katsuhiro Otomo,2.0,USD,used
9781789430905,Amazon.com,"Alcott, Louisa May",2.0,USD,used
9780002557399,Amazon.com,Margaret Visser,2.0,USD,used
9780582353718,Amazon.com,"Shaffer, Peter",2.0,USD,used
9780345509437,Amazon.com,,2.0,USD,used
9780140312492,Amazon.com,Ill Beverly Cleary And Thelma Lambert,2.0,USD,used
9780553066197,Amazon.com,Emile Loring,2.0,USD,used
9780716767091,Amazon.com,"Knisely, Karin",2.0,USD,used
9780671790233,Amazon.com.au,Allan Nevins,2.0,USD,used
9780593036501,Amazon.com,Tehmina Durrani,2.0,USD,used
9780393970630,Amazon.com,"Tindall, George Brown",2.0,USD,used
9780575072602,Amazon.com.au,Dan Simmons,2.0,USD,used
9780670848324,Amazon.com,Jon Scieszka,2.0,USD,used
9780835233262,Amazon.com.au,"Sader, Marion",2.0,USD,used
9780349004600,Amazon.com,Sarah Waters,2.0,USD,used
9780937858530,Amazon.com,Marilyn Segal,2.0,USD,used
9780224101288,Amazon.com,"Brosh, Allie",2.0,USD,used
9780060113292,Amazon.com,"Dmitri Kabalevsky. Teaching and performance notes, written by John York, are listed at the end of the book. Novelette is included on ABRSM Piano Grade 5 syllabus, 2017-2018",2.0,USD,used
9780048231888,Amazon.com,"Tolkien, J. R. R.",2.0,USD,used
9780307271914,Amazon.com,,2.0,USD,used
9780375759031,Amazon.com.au,"Brown, Charles Brockden",2.0,USD,used
9780965593199,Amazon.com,"Simon / John Lynch, Foreword Singh",2.0,USD,used
9780553818215,Amazon.com,"Lehane, Dennis",2.0,USD,used
9782070364305,Amazon.com,"Diamond, Jared",1.0,USD,used
9781119653936,Amazon.com,"Kripal, Jeffrey J.",1.0,USD,used
9780312851828,Amazon.com,"Vinge, Vernor",1.0,USD,used
9780316686563,Amazon.com,"Patterson, James",1.0,USD,used
9781900650069,Amazon.com,Dirk Delabastita,1.0,USD,used
9781861713612,Amazon.com,"Cleland, John",1.0,USD,used
9780345469724,Amazon.com,Terry Brooks,1.0,USD,used
9780373536146,Amazon.com,Margaret Ripy,1.0,USD,used
9780375726064,Amazon.com,"Gide, Andre",1.0,USD,used
9781934432013,Amazon.com,"Berry, David C.",1.0,USD,used
9780152015404,Amazon.com (Prime),"Cannon, Janell",1.0,USD,used
9780263752243,Amazon.com.au,"Jordan, Penny",1.0,USD,used
9782253006725,Amazon.com,De La Fayette,1.0,USD,used
9780007635757,Amazon.com,"Sobel, Dava",1.0,USD,used
9780020544005,Amazon.com,"Stowe, Harriet Beecher",1.0,USD,used
9780061231155,Amazon.com,"Landy, Derek",1.0,USD,used
9780061450549,Amazon.com (Prime),"Armstrong, Kelley",1.0,USD,used
9788491050582,Amazon.com,"Austen, Jane",1.0,USD,used
9780062470720,Amazon.com,"Wilder, Laura Ingalls",1.0,USD,used
9780062502421,Amazon.com,"Donner, Florinda",1.0,USD,used
9788413371139,Amazon.com,"Voltaire, Voltaire",1.0,USD,used
9780099784616,Amazon.com.au,"Rendell, Ruth",1.0,USD,used
9788377478424,Amazon.com,"Mull, Brandon",1.0,USD,used
9780130109149,Amazon.com,"Bennett, Andrew",1.0,USD,used
9783775716161,Amazon.com,"Hirsch, Vanessa",1.0,USD,used
9780140447477,Amazon.com (Prime),"Kant, Immanuel",1.0,USD,used
9782855871295,Amazon.com,"Alechinsky, Pierre",1.0,USD,used
9780174436614,Amazon.com,"Latham, Agnes",1.0,USD,used
9780393328455,Amazon.com,"Parks, Tim",1.0,USD,used
9780451523716,Amazon.com,"De Cervantes Saavedra, Miguel",1.0,USD,used
9780394747095,Amazon.com,Jean-Paul Sartre,1.0,USD,used
9780807079409,Amazon.com,"Feinberg, Leslie",1.0,USD,used
9780679424796,Amazon.com,"Jayakar, Pupul",1.0,USD,used
9781416971719,Amazon.com,"Draper, Sharon M.",1.0,USD,used
9780681403123,Amazon.com,"Grimm, Jacob",1.0,USD,used
9780684853529,Amazon.com,"King, Stephen",1.0,USD,used
9780760727447,Amazon.com,"Godwin, Malcolm",1.0,USD,used
9780764191404,Amazon.com,"De Dega, Lope",1.0,USD,used
9780786468713,Amazon.com,"Wells, H.G.",1.0,USD,used
9780828104852,Amazon.com,"Plumb, J. H.",1.0,USD,used
9780415281560,Amazon.com,"Lymbery, Sylvia",1.0,USD,used
9781408857823,Amazon.com.au,Johann Hari,1.0,USD,used
9780899192192,Amazon.com,"Bunting, Eve",1.0,USD,used
9781400032532,Amazon.com,"Ellis, Joseph J.",1.0,USD,used
9780938434191,Amazon.com,Estelle L. Weinrib,1.0,USD,used
9781328916778,Amazon.com,"Travers, P. L.",1.0,USD,used
9780940322479,Amazon.com,"where he is to restore a recently discovered medieval mural in the local church. Living in the bell tower, surrounded by the resplendent countryside of high summer, and laboring each day to uncover an anonymous painter's depiction of the apocalypse, Birkin finds that he himself has been restored to a new, and hopeful, attachment to life. But summer ends, and with the work done, Birkin must leave. Now, long after, as he reflects on the passage of time and the power of art, he finds in his memories some consolation for all that has been lost.",1.0,USD,used
9781269453141,Amazon.com,John D. Ramage,1.0,USD,used
9781421503264,Amazon.com,"Hiwatari, Saki",1.0,USD,used
9781433134142,Amazon.com,"Kinard, Tim",1.0,USD,used
9780671530082,Amazon.com,"Thomas, Ross",1.0,USD,used
9781451618501,Amazon.com,"Ralston, Aron",1.0,USD,used
9781725898646,Amazon.com,"Hawthorne, Nathaniel",1.0,USD,used
9781719651059,Amazon.com,"Masters, Regina M.",1.0,USD,used
9780451520838,Amazon.com,Charlotte Bronte,1.0,USD,used
9781119621492,Amazon.com,"Nussbaumer Knaflic, Cole",1.0,USD,used
9780486284996,Amazon.com,Frederick Douglass,1.0,USD,used
9781601375025,Amazon.com,Pope Francis,1.0,USD,used
9780500273531,Amazon.com,Rose Macaulay,1.0,USD,used
9780545349260,Amazon.com,"Sutherland, Tui T.",1.0,USD,used
9781585103096,Amazon.com,"Shakespeare, William",1.0,USD,used
9781580402378,Amazon.com,American Diabetes Association,1.0,USD,used
9780553280647,Amazon.com,"Tepper, Sheri S.",1.0,USD,used
9780553383577,Amazon.com,"VanderMeer, Jeff",1.0,USD,used
9781498774482,Amazon.com,,1.0,USD,used
9781456405724,Amazon.com,"Twain, Mark",1.0,USD,used
9780606379243,Amazon.com,"Pilkey, Dav",1.0,USD,used
9789872060961,Amazon.com,Danielle Steel,1.0,USD,used
