source,isbn,title,author,listing_price,shipping_price,total_price,currency,condition,rating,review_count,url,scrape_time_utc
abebooks,9780486227818,,E. A. Wallis Budge,10.3,,10.3,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,6.57,,6.57,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,6.57,,6.57,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,6.57,,6.57,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,10.35,,10.35,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,"Budge, Ernest Alfred Wallis",11.33,,11.33,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,"A. Wallis, Sir E.",6.11,,6.11,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,10.0,,10.0,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,23.0,,23.0,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,"Budge, E. A. Wallis",23.78,,23.78,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,-,22.6,,22.6,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,-,22.6,,22.6,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,25.0,,25.0,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,Save 15%,"Budge, E. A. Wallis",39.2,,39.2,USD,,,,https://www.abebooks.com/first-edition/Osiris-Egyptian-resurrection-volume-2-Budge/31288334413/bd,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,"Budge, E. A. Wallis",25.39,,25.39,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,Sir E. A. Wallis Budge,32.92,,32.92,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,"WALLIS BUDGE, E.A.",22.97,,22.97,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,Sir E. A. Wallis Budge,44.42,,44.42,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,"Wallis Budge, E.A.",13.3,,13.3,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780486227818,,E. A. Wallis Budge,77.63,,77.63,USD,,,,,2025-12-15T20:32:08.841523+00:00
abebooks,9780099537878,,Ellroy James,11.69,,11.69,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,Ellroy James,12.39,,12.39,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,15.31,,15.31,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,20.86,,20.86,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,14.57,,14.57,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,14.57,,14.57,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,22.43,,22.43,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"ELLROY,JAMES",14.52,,14.52,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"Ellroy, James",16.77,,16.77,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"Ellroy, James",18.33,,18.33,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"Ellroy, J.",13.45,,13.45,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,Ellroy James,16.35,,16.35,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,12.19,,12.19,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,Ellroy James,22.23,,22.23,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"Ellroy, James",15.29,,15.29,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"Ellroy, James",17.75,,17.75,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,18.85,,18.85,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,17.29,,17.29,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,17.29,,17.29,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"ELLROY, JAMES",14.62,,14.62,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,35.2,,35.2,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,22.7,,22.7,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,"Ellroy, James",20.85,,20.85,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,17.82,,17.82,USD,,,,,2025-12-15T20:32:10.207137+00:00
abebooks,9780099537878,,James Ellroy,15.66,,15.66,USD,,,,,2025-12-15T20:32:10.207137+00:00
